Conversation,Translation,Direct Translation,Notes
Lesson 1,第1課-th/one/lesson,,
早く,Hurry!,,
行きましょう,Let’s go,,
わかりました,I undestand,,
どこへ,Where?,where/[destination],
あそこへ,Over there,there/[destination],
暑いですね,It’s hot. Isn’t it,hot/it is/[agreement],
そうですね,It is. Isn’t it,so/it is/[agreement],
Lesson 2,第2課-th/four/lesson-th/two/lesson,,
見ましたか,Did you see it?,have seen/[question],
何を,What?,what/[object],
ピカソ展,Picasso Exhibition,Picasso-Exhibition,
まだです,Not yet,Not yet/it is,
いいですよ,It’s really good,really good/it is/[agreement],
そうですか,Really?,so it is/[question],
明日行きます,I’ll go tomorrow,tomorrow/go,
Lesson 3,Breakfast,,
おはようございます,Good Morning,,
おはようございます,Good Morning,,
パンを食べますか,Would you like some bread?,bread/[object]/eat/[question],
食べます,Yes,eat,
コーヒーを飲みますか,Would you like some coffee?,coffee/[object]/drink/[question],
飲みます,Yes,drink,
ビルを飲みますか,Would you like some beer?,beer/[object]/drink/[question],
飲みません,No,not drink,
りんごを食べますか,Would you like some apple?,apple/[object]/eat/[question],
食べません,No,not eat,
それでは卵を食べますか,Well then would you like some eggs?,so/egg/[object]/eat[question],
食べます,Yes,eat,
Lesson 4,第4課-th/four/lesson,,
